Age Range,year,count,Gender
20–24,2018,9749,male
25–29,2018,32218,male
30–34,2018,27765,male
35–39,2018,12012,male
40–44,2018,5117,male
45–49,2018,2966,male
50–54,2018,1800,male
55–59,2018,1079,male
60–64,2018,515,male
65–69,2018,302,male
70–74,2018,187,male
75 and over,2018,101,male
